"","page","searchengine","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","Google",160669,"",""
"2","Areas with Zika | Zika virus | CDC","::unspecified::",100907,"",""
"3","Areas with Zika | Zika virus | CDC","Google - Canada",37600,"",""
"4","Areas with Zika | Zika virus | CDC","Google - United Kingdom",20355,"",""
"5","Areas with Zika | Zika virus | CDC","Microsoft Bing",8255,"",""
"6","Areas with Zika | Zika virus | CDC","Yahoo!",5097,"",""
"7","Areas with Zika | Zika virus | CDC","Google Search App",3520,"",""
"8","Areas with Zika | Zika virus | CDC","Google - Australia",2014,"",""
"9","Areas with Zika | Zika virus | CDC","Google - Germany",1919,"",""
"10","Areas with Zika | Zika virus | CDC","Google - Ireland",1297,"",""
"11","Areas with Zika | Zika virus | CDC","Google - Sweden",1221,"",""
"12","Areas with Zika | Zika virus | CDC","Google - Netherlands",1099,"",""
"13","Areas with Zika | Zika virus | CDC","Google - Switzerland",1088,"",""
"14","Areas with Zika | Zika virus | CDC","Google - Norway",762,"",""
"15","Areas with Zika | Zika virus | CDC","Google - Finland",715,"",""
"16","Areas with Zika | Zika virus | CDC","Google - France",699,"",""
"17","Areas with Zika | Zika virus | CDC","Google - Belgium",641,"",""
"18","Areas with Zika | Zika virus | CDC","Google - New Zealand",602,"",""
"19","Areas with Zika | Zika virus | CDC","Google - Mexico",584,"",""
"20","Areas with Zika | Zika virus | CDC","Google - Hong Kong",542,"",""
"21","Areas with Zika | Zika virus | CDC","Google - Denmark",529,"",""
"22","Areas with Zika | Zika virus | CDC","Google - Italy",489,"",""
"23","Areas with Zika | Zika virus | CDC","Google - India",477,"",""
"24","Areas with Zika | Zika virus | CDC","Google - Israel",442,"",""
"25","Areas with Zika | Zika virus | CDC","Google - Poland",368,"",""
"26","Areas with Zika | Zika virus | CDC","Google - Spain",365,"",""
"27","Areas with Zika | Zika virus | CDC","DuckDuckGo",326,"",""
"28","Areas with Zika | Zika virus | CDC","Google - Thailand",314,"",""
"29","Areas with Zika | Zika virus | CDC","Google - Portugal",285,"",""
"30","Areas with Zika | Zika virus | CDC","Google - Brasil",278,"",""
"31","Areas with Zika | Zika virus | CDC","Google - Czech Republic",267,"",""
"32","Areas with Zika | Zika virus | CDC","Google - Austria",261,"",""
"33","Areas with Zika | Zika virus | CDC","Google - Romania",253,"",""
"34","Areas with Zika | Zika virus | CDC","Google - South Africa",252,"",""
"35","Areas with Zika | Zika virus | CDC","Google - Philippines",249,"",""
"36","Areas with Zika | Zika virus | CDC","Google - Chile",239,"",""
"37","Areas with Zika | Zika virus | CDC","Google - Japan",236,"",""
"38","Areas with Zika | Zika virus | CDC","Google - Singapore",231,"",""
"39","Areas with Zika | Zika virus | CDC","Google - United Arab Emirates",227,"",""
"40","Areas with Zika | Zika virus | CDC","Google - Argentina",212,"",""
"41","Areas with Zika | Zika virus | CDC","MyWay.com",204,"",""
"42","Areas with Zika | Zika virus | CDC","Google - Korea",191,"",""
"43","Areas with Zika | Zika virus | CDC","Google - Puerto Rico",186,"",""
"44","Areas with Zika | Zika virus | CDC","Google - Hungary",185,"",""
"45","Areas with Zika | Zika virus | CDC","Google - Slovenia",179,"",""
"46","Areas with Zika | Zika virus | CDC","Google - Turkey",155,"",""
"47","Areas with Zika | Zika virus | CDC","AOL.com Search",142,"",""
"48","Areas with Zika | Zika virus | CDC","Google - Estonia",135,"",""
"49","Areas with Zika | Zika virus | CDC","Ask Jeeves",133,"",""
"50","Areas with Zika | Zika virus | CDC","Google - Greece",128,"",""
"51","Areas with Zika | Zika virus | CDC","Google - Taiwan",124,"",""
"52","Areas with Zika | Zika virus | CDC","Google - Slovakia",122,"",""
"53","Areas with Zika | Zika virus | CDC","Google - Indonesia",102,"",""
"54","Areas with Zika | Zika virus | CDC","Google - Colombia",82,"",""
"55","Areas with Zika | Zika virus | CDC","Google - Russia",74,"",""
"56","Areas with Zika | Zika virus | CDC","Google - Viet Nam",72,"",""
"57","Areas with Zika | Zika virus | CDC","Google - Latvia",71,"",""
"58","Areas with Zika | Zika virus | CDC","Google - Dominican Republic",69,"",""
"59","Areas with Zika | Zika virus | CDC","Google - Lithuania",66,"",""
"60","Areas with Zika | Zika virus | CDC","Google - Nigeria",59,"",""
"61","Areas with Zika | Zika virus | CDC","Google - Egypt",58,"",""
"62","Areas with Zika | Zika virus | CDC","Google - Jamaica",55,"",""
"63","Areas with Zika | Zika virus | CDC","Google - Cyprus",52,"",""
"64","Areas with Zika | Zika virus | CDC","Google - Saudi Arabia",51,"",""
"65","Areas with Zika | Zika virus | CDC","Google - Bulgaria",51,"",""
"66","Areas with Zika | Zika virus | CDC","Google - Island",49,"",""
"67","Areas with Zika | Zika virus | CDC","Google - Peru",46,"",""
"68","Areas with Zika | Zika virus | CDC","Google - Jersey",46,"",""
"69","Areas with Zika | Zika virus | CDC","Google - Pakistan",45,"",""
"70","Areas with Zika | Zika virus | CDC","Google - Croatia",44,"",""
"71","Areas with Zika | Zika virus | CDC","Google - Malta",44,"",""
"72","Areas with Zika | Zika virus | CDC","Google - Ukraine",43,"",""
"73","Areas with Zika | Zika virus | CDC","Google - Sri Lanka",41,"",""
"74","Areas with Zika | Zika virus | CDC","Google - Trinidad and Tobago",34,"",""
"75","Areas with Zika | Zika virus | CDC","Google - The Bahamas",33,"",""
"76","Areas with Zika | Zika virus | CDC","Yahoo! - Canada",33,"",""
"77","Areas with Zika | Zika virus | CDC","Google - Luxembourg",32,"",""
"78","Areas with Zika | Zika virus | CDC","Google - Ecuador",30,"",""
"79","Areas with Zika | Zika virus | CDC","Google - Ghana",27,"",""
"80","Areas with Zika | Zika virus | CDC","Google - Lebanon",26,"",""
"81","Areas with Zika | Zika virus | CDC","Google - Uruguay",26,"",""
"82","Areas with Zika | Zika virus | CDC","Google - Myanmar",25,"",""
"83","Areas with Zika | Zika virus | CDC","Google - Serbia",23,"",""
"84","Areas with Zika | Zika virus | CDC","Google - American Samoa",23,"",""
"85","Areas with Zika | Zika virus | CDC","Google - Belize",22,"",""
"86","Areas with Zika | Zika virus | CDC","Google - Maldives",22,"",""
"87","Areas with Zika | Zika virus | CDC","Google - Ethiopia",22,"",""
"88","Areas with Zika | Zika virus | CDC","Google - Antigua and Barbuda",22,"",""
"89","Areas with Zika | Zika virus | CDC","Google - Malaysia",21,"",""
"90","Areas with Zika | Zika virus | CDC","Google - Guatemala",20,"",""
"91","Areas with Zika | Zika virus | CDC","Baidu",20,"",""
"92","Areas with Zika | Zika virus | CDC","Yahoo! - Japan",19,"",""
"93","Areas with Zika | Zika virus | CDC","Google - Kuwait",18,"",""
"94","Areas with Zika | Zika virus | CDC","Google - Saint Vincent and the Grenadine",18,"",""
"95","Areas with Zika | Zika virus | CDC","Google - Zambia",17,"",""
"96","Areas with Zika | Zika virus | CDC","Google - Cambodia",16,"",""
"97","Areas with Zika | Zika virus | CDC","Yahoo! - UK and Ireland",16,"",""
"98","Areas with Zika | Zika virus | CDC","Google - Mauritius",15,"",""
"99","Areas with Zika | Zika virus | CDC","Google - Nicaragua",14,"",""
"100","Areas with Zika | Zika virus | CDC","Google - Nepal",11,"",""
"101","Areas with Zika | Zika virus | CDC","AVG Secure Search",10,"",""
"102","Areas with Zika | Zika virus | CDC","Google - Brunei",10,"",""
"103","Areas with Zika | Zika virus | CDC","Google - Panama",10,"",""
"104","Areas with Zika | Zika virus | CDC","Google - Mongolia",9,"",""
"105","Areas with Zika | Zika virus | CDC","Google - Honduras",9,"",""
"106","Areas with Zika | Zika virus | CDC","Google - Iraq",8,"",""
"107","Areas with Zika | Zika virus | CDC","BT",7,"",""
"108","Areas with Zika | Zika virus | CDC","Haosou (so.com)",7,"",""
"109","Areas with Zika | Zika virus | CDC","Google - Palestinian territories",7,"",""
"110","Areas with Zika | Zika virus | CDC","Google - Belarus",7,"",""
"111","Areas with Zika | Zika virus | CDC","Google - Bahrain",7,"",""
"112","Areas with Zika | Zika virus | CDC","Google - Cook Islands",7,"",""
"113","Areas with Zika | Zika virus | CDC","Google - Haiti",7,"",""
"114","Areas with Zika | Zika virus | CDC","Earthlink Search",6,"",""
"115","Areas with Zika | Zika virus | CDC","Google - Cuba",6,"",""
"116","Areas with Zika | Zika virus | CDC","Google - Jordan",6,"",""
"117","Areas with Zika | Zika virus | CDC","Google - Rwanda",6,"",""
"118","Areas with Zika | Zika virus | CDC","Google - Zimbabwe",6,"",""
"119","Areas with Zika | Zika virus | CDC","Google - Armenia",6,"",""
"120","Areas with Zika | Zika virus | CDC","Google - Anguilla",6,"",""
"121","Areas with Zika | Zika virus | CDC","Google - Papua New Guinea",5,"",""
"122","Areas with Zika | Zika virus | CDC","Google - Tanzania",5,"",""
"123","Areas with Zika | Zika virus | CDC","Google - Cameroun",5,"",""
"124","Areas with Zika | Zika virus | CDC","Sogou",5,"",""
"125","Areas with Zika | Zika virus | CDC","Google - Kazakhstan",5,"",""
"126","Areas with Zika | Zika virus | CDC","Google - Afghanistan",5,"",""
"127","Areas with Zika | Zika virus | CDC","Google - Isle of Gibraltar",5,"",""
"128","Areas with Zika | Zika virus | CDC","Google - Namibia",5,"",""
"129","Areas with Zika | Zika virus | CDC","Yandex.ru",5,"",""
"130","Areas with Zika | Zika virus | CDC","MSN",5,"",""
"131","Areas with Zika | Zika virus | CDC","alot.com",4,"",""
"132","Areas with Zika | Zika virus | CDC","Google - Botswana",4,"",""
"133","Areas with Zika | Zika virus | CDC","Google - Laos",4,"",""
"134","Areas with Zika | Zika virus | CDC","Google - El Salvador",4,"",""
"135","Areas with Zika | Zika virus | CDC","Google - Senegal",4,"",""
"136","Areas with Zika | Zika virus | CDC","Google - Dominica",4,"",""
"137","Areas with Zika | Zika virus | CDC","Google - British Virgin Islands",4,"",""
"138","Areas with Zika | Zika virus | CDC","Google - Repulic of Georgia",4,"",""
"139","Areas with Zika | Zika virus | CDC","Seznam.cz",4,"",""
"140","Areas with Zika | Zika virus | CDC","Google - Tunisia",3,"",""
"141","Areas with Zika | Zika virus | CDC","Google - Madagasikara",3,"",""
"142","Areas with Zika | Zika virus | CDC","Google - Guadeloupe",3,"",""
"143","Areas with Zika | Zika virus | CDC","Google - Venezuela",3,"",""
"144","Areas with Zika | Zika virus | CDC","Google - Rep. Dem. du Congo",3,"",""
"145","Areas with Zika | Zika virus | CDC","Google - Bosnia-Hercegovina",3,"",""
"146","Areas with Zika | Zika virus | CDC","Google - Azerbaijan",3,"",""
"147","Areas with Zika | Zika virus | CDC","Google - Guyana",3,"",""
"148","Areas with Zika | Zika virus | CDC","Reference.com",3,"",""
"149","Areas with Zika | Zika virus | CDC","Naver",3,"",""
"150","Areas with Zika | Zika virus | CDC","Yahoo! - Australia",3,"",""
"151","Areas with Zika | Zika virus | CDC","Google - Mozambique",2,"",""
"152","Areas with Zika | Zika virus | CDC","Google - Mali",2,"",""
"153","Areas with Zika | Zika virus | CDC","mywebsearch",2,"",""
"154","Areas with Zika | Zika virus | CDC","Google - Djibouti",2,"",""
"155","Areas with Zika | Zika virus | CDC","Google - Paraguay",2,"",""
"156","Areas with Zika | Zika virus | CDC","Yahoo! - Brazil",2,"",""
"157","Areas with Zika | Zika virus | CDC","Yahoo! - Hong Kong",2,"",""
"158","Areas with Zika | Zika virus | CDC","Yahoo! - Singapore",2,"",""
"159","Areas with Zika | Zika virus | CDC","Dogpile",2,"",""
"160","Areas with Zika | Zika virus | CDC","search-results.com",1,"",""
"161","Areas with Zika | Zika virus | CDC","Google - Qatar",1,"",""
"162","Areas with Zika | Zika virus | CDC","Google - Bolivia",1,"",""
"163","Areas with Zika | Zika virus | CDC","Google - Micronesia",1,"",""
"164","Areas with Zika | Zika virus | CDC","Google - Rep. du Congo",1,"",""
"165","Areas with Zika | Zika virus | CDC","Yahoo! - New Zealand",1,"",""
"166","Areas with Zika | Zika virus | CDC","Yahoo! - Malaysia",1,"",""
"167","Areas with Zika | Zika virus | CDC","Google - Guernsey",1,"",""
"168","Areas with Zika | Zika virus | CDC","Searchalot",1,"",""
"169","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","::unspecified::",138181,"",""
"170","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google",104860,"",""
"171","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Canada",26677,"",""
"172","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - United Kingdom",14788,"",""
"173","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Microsoft Bing",5756,"",""
"174","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo!",3159,"",""
"175","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google Search App",2448,"",""
"176","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Australia",1430,"",""
"177","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Germany",1216,"",""
"178","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Ireland",980,"",""
"179","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Sweden",776,"",""
"180","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Netherlands",766,"",""
"181","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Switzerland",741,"",""
"182","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - New Zealand",548,"",""
"183","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - France",507,"",""
"184","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Belgium",466,"",""
"185","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Finland",448,"",""
"186","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Norway",440,"",""
"187","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Mexico",390,"",""
"188","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Hong Kong",378,"",""
"189","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Israel",367,"",""
"190","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - India",343,"",""
"191","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Denmark",339,"",""
"192","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Italy",324,"",""
"193","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Poland",283,"",""
"194","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Spain",242,"",""
"195","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Portugal",231,"",""
"196","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Brasil",202,"",""
"197","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Czech Republic",201,"",""
"198","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","DuckDuckGo",192,"",""
"199","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Romania",191,"",""
"200","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Chile",164,"",""
"201","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - United Arab Emirates",163,"",""
"202","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Austria",157,"",""
"203","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Philippines",150,"",""
"204","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Thailand",149,"",""
"205","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - South Africa",147,"",""
"206","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Singapore",145,"",""
"207","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Argentina",140,"",""
"208","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Japan",136,"",""
"209","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Hungary",130,"",""
"210","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","MyWay.com",129,"",""
"211","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Korea",122,"",""
"212","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Ask Jeeves",119,"",""
"213","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Slovenia",118,"",""
"214","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Estonia",109,"",""
"215","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Puerto Rico",106,"",""
"216","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Turkey",98,"",""
"217","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Greece",93,"",""
"218","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Slovakia",85,"",""
"219","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Taiwan",83,"",""
"220","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Latvia",78,"",""
"221","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","AOL.com Search",78,"",""
"222","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Dominican Republic",59,"",""
"223","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Colombia",57,"",""
"224","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Bulgaria",56,"",""
"225","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Indonesia",54,"",""
"226","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Russia",49,"",""
"227","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Lithuania",48,"",""
"228","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Jamaica",46,"",""
"229","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Viet Nam",43,"",""
"230","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Jersey",43,"",""
"231","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Peru",41,"",""
"232","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Trinidad and Tobago",41,"",""
"233","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Cyprus",38,"",""
"234","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Island",37,"",""
"235","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - Canada",36,"",""
"236","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Sri Lanka",35,"",""
"237","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Nigeria",32,"",""
"238","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Malta",32,"",""
"239","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Ukraine",32,"",""
"240","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Ecuador",30,"",""
"241","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Uruguay",30,"",""
"242","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Luxembourg",28,"",""
"243","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Saudi Arabia",27,"",""
"244","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - The Bahamas",25,"",""
"245","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Egypt",23,"",""
"246","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Croatia",22,"",""
"247","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Pakistan",21,"",""
"248","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Lebanon",20,"",""
"249","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Serbia",15,"",""
"250","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Cambodia",15,"",""
"251","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Malaysia",14,"",""
"252","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Mauritius",14,"",""
"253","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Belize",13,"",""
"254","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Maldives",13,"",""
"255","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Guatemala",13,"",""
"256","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - UK and Ireland",13,"",""
"257","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Antigua and Barbuda",12,"",""
"258","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Kuwait",11,"",""
"259","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Baidu",11,"",""
"260","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Ghana",10,"",""
"261","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Iraq",10,"",""
"262","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","AVG Secure Search",10,"",""
"263","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Honduras",10,"",""
"264","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Myanmar",9,"",""
"265","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - Japan",9,"",""
"266","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Ethiopia",8,"",""
"267","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - American Samoa",8,"",""
"268","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Anguilla",8,"",""
"269","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Nicaragua",8,"",""
"270","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Saint Vincent and the Grenadine",7,"",""
"271","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Afghanistan",7,"",""
"272","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - Brazil",7,"",""
"273","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Brunei",6,"",""
"274","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Isle of Gibraltar",6,"",""
"275","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Armenia",6,"",""
"276","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Earthlink Search",5,"",""
"277","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Belarus",5,"",""
"278","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Cuba",5,"",""
"279","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Kazakhstan",5,"",""
"280","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - El Salvador",5,"",""
"281","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Namibia",5,"",""
"282","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yandex.ru",5,"",""
"283","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Guyana",4,"",""
"284","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Mongolia",4,"",""
"285","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Zimbabwe",4,"",""
"286","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Zambia",4,"",""
"287","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Haiti",4,"",""
"288","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","alot.com",3,"",""
"289","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","BT",3,"",""
"290","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Djibouti",3,"",""
"291","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Venezuela",3,"",""
"292","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Cook Islands",3,"",""
"293","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Nepal",3,"",""
"294","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Laos",3,"",""
"295","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Paraguay",3,"",""
"296","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Jordan",3,"",""
"297","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - Australia",3,"",""
"298","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Seznam.cz",3,"",""
"299","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","MSN",3,"",""
"300","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Haosou (so.com)",2,"",""
"301","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Palestinian territories",2,"",""
"302","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Sogou",2,"",""
"303","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","mywebsearch",2,"",""
"304","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Bosnia-Hercegovina",2,"",""
"305","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Bahrain",2,"",""
"306","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Panama",2,"",""
"307","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Senegal",2,"",""
"308","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Rwanda",2,"",""
"309","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Dominica",2,"",""
"310","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - New Zealand",2,"",""
"311","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - British Virgin Islands",2,"",""
"312","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Repulic of Georgia",2,"",""
"313","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Reference.com",2,"",""
"314","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Yahoo! - Sweden",2,"",""
"315","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Sierra Leone",1,"",""
"316","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Papua New Guinea",1,"",""
"317","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Tanzania",1,"",""
"318","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Tunisia",1,"",""
"319","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Mali",1,"",""
"320","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Madagasikara",1,"",""
"321","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Cameroun",1,"",""
"322","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","search-results.com",1,"",""
"323","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Azerbaijan",1,"",""
"324","Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC","Google - Lesotho",1,"",""
