"","page","searchenginekeyword","pageviews","segment.id","segment.name"
"1","Areas with Zika | Zika virus | CDC","::empty::",250453,"",""
"2","Areas with Zika | Zika virus | CDC","::unspecified::",100907,"",""
"3","Areas with Zika | Zika virus | CDC","zika virus map",918,"",""
"4","Areas with Zika | Zika virus | CDC","cdc zika",913,"",""
"5","Areas with Zika | Zika virus | CDC","zika virus",761,"",""
"6","Areas with Zika | Zika virus | CDC","zika",480,"",""
"7","Areas with Zika | Zika virus | CDC","cdc",381,"",""
"8","Areas with Zika | Zika virus | CDC","zika map",236,"",""
"9","Areas with Zika | Zika virus | CDC","cdc zika map",185,"",""
"10","Areas with Zika | Zika virus | CDC","zika cdc",163,"",""
"11","Areas with Zika | Zika virus | CDC","zika virus locations",103,"",""
"12","Areas with Zika | Zika virus | CDC","cdc zika virus",87,"",""
"13","Areas with Zika | Zika virus | CDC","where is zika",72,"",""
"14","Areas with Zika | Zika virus | CDC","where is zika virus",69,"",""
"15","Areas with Zika | Zika virus | CDC","zika virus countries",55,"",""
"16","Areas with Zika | Zika virus | CDC","zika affected areas",43,"",""
"17","Areas with Zika | Zika virus | CDC","zika virus cdc",42,"",""
"18","Areas with Zika | Zika virus | CDC","cdc.gov",41,"",""
"19","Areas with Zika | Zika virus | CDC","zika areas",33,"",""
"20","Areas with Zika | Zika virus | CDC","cdc.gov zika",30,"",""
"21","Areas with Zika | Zika virus | CDC","areas with zika",29,"",""
"22","Areas with Zika | Zika virus | CDC","www.cdc.gov",27,"",""
"23","Areas with Zika | Zika virus | CDC","zika zones",27,"",""
"24","Areas with Zika | Zika virus | CDC","zika countries",25,"",""
"25","Areas with Zika | Zika virus | CDC","cdc website",25,"",""
"26","Areas with Zika | Zika virus | CDC","zika in mexico",25,"",""
"27","Areas with Zika | Zika virus | CDC","zika virus symptoms",25,"",""
"28","Areas with Zika | Zika virus | CDC","center for disease control",24,"",""
"29","Areas with Zika | Zika virus | CDC","zika cdc map",22,"",""
"30","Areas with Zika | Zika virus | CDC","zika locations",21,"",""
"31","Areas with Zika | Zika virus | CDC","zika virus 2017",21,"",""
"32","Areas with Zika | Zika virus | CDC","countries affected by zika",20,"",""
"33","Areas with Zika | Zika virus | CDC","https://www.cdc.gov/zika/geo/",19,"",""
"34","Areas with Zika | Zika virus | CDC","cdc zika virus map",18,"",""
"35","Areas with Zika | Zika virus | CDC","zika symptoms",18,"",""
"36","Areas with Zika | Zika virus | CDC","where is the zika virus",17,"",""
"37","Areas with Zika | Zika virus | CDC","countries with zika",16,"",""
"38","Areas with Zika | Zika virus | CDC","zika affected countries",16,"",""
"39","Areas with Zika | Zika virus | CDC","cdc zika travel",15,"",""
"40","Areas with Zika | Zika virus | CDC","zika virus affected areas",15,"",""
"41","Areas with Zika | Zika virus | CDC","where is the zika virus found",15,"",""
"42","Areas with Zika | Zika virus | CDC","zika virus areas",14,"",""
"43","Areas with Zika | Zika virus | CDC","cdc zika list",14,"",""
"44","Areas with Zika | Zika virus | CDC","cdc zika locations",14,"",""
"45","Areas with Zika | Zika virus | CDC","zika caribbean",14,"",""
"46","Areas with Zika | Zika virus | CDC","map of zika virus",14,"",""
"47","Areas with Zika | Zika virus | CDC","https://www.cdc.gov/zika/",13,"",""
"48","Areas with Zika | Zika virus | CDC","zika site:cdc.gov",13,"",""
"49","Areas with Zika | Zika virus | CDC","current zika map",13,"",""
"50","Areas with Zika | Zika virus | CDC","zika virus countries to avoid",13,"",""
"51","Areas with Zika | Zika virus | CDC","zika map cdc",12,"",""
"52","Areas with Zika | Zika virus | CDC","bermuda zika",12,"",""
"53","Areas with Zika | Zika virus | CDC","zika infected areas",12,"",""
"54","Areas with Zika | Zika virus | CDC","cdc and zika",12,"",""
"55","Areas with Zika | Zika virus | CDC","zika virus update",11,"",""
"56","Areas with Zika | Zika virus | CDC","zika virus caribbean",11,"",""
"57","Areas with Zika | Zika virus | CDC","centers for disease control and prevention",11,"",""
"58","Areas with Zika | Zika virus | CDC","areas affected by zika",11,"",""
"59","Areas with Zika | Zika virus | CDC","cdc zika india",11,"",""
"60","Areas with Zika | Zika virus | CDC","where is zika now",10,"",""
"61","Areas with Zika | Zika virus | CDC","zeka virus",10,"",""
"62","Areas with Zika | Zika virus | CDC","zika usa",10,"",""
"63","Areas with Zika | Zika virus | CDC","zica virus",9,"",""
"64","Areas with Zika | Zika virus | CDC","zika cdc list",9,"",""
"65","Areas with Zika | Zika virus | CDC","zika in bahamas",9,"",""
"66","Areas with Zika | Zika virus | CDC","list of zika virus affected countries",9,"",""
"67","Areas with Zika | Zika virus | CDC","zika warning map",9,"",""
"68","Areas with Zika | Zika virus | CDC","zika mexico",9,"",""
"69","Areas with Zika | Zika virus | CDC","zika africa",9,"",""
"70","Areas with Zika | Zika virus | CDC","areas affected by zika virus",9,"",""
"71","Areas with Zika | Zika virus | CDC","z",9,"",""
"72","Areas with Zika | Zika virus | CDC","zika virus areas affected",9,"",""
"73","Areas with Zika | Zika virus | CDC","cdc areas with zika",8,"",""
"74","Areas with Zika | Zika virus | CDC","cdc on zika",8,"",""
"75","Areas with Zika | Zika virus | CDC","cdc zika countries",8,"",""
"76","Areas with Zika | Zika virus | CDC","zika affected regions",8,"",""
"77","Areas with Zika | Zika virus | CDC","zika virus hotspots",8,"",""
"78","Areas with Zika | Zika virus | CDC","zika endemic areas",8,"",""
"79","Areas with Zika | Zika virus | CDC","is zika in mexico",8,"",""
"80","Areas with Zika | Zika virus | CDC","zika in africa",8,"",""
"81","Areas with Zika | Zika virus | CDC","zika bahamas",8,"",""
"82","Areas with Zika | Zika virus | CDC","http://www.cdc.gov/",7,"",""
"83","Areas with Zika | Zika virus | CDC","cdc.zika",7,"",""
"84","Areas with Zika | Zika virus | CDC","zika florida cdc",7,"",""
"85","Areas with Zika | Zika virus | CDC","thailand zika",7,"",""
"86","Areas with Zika | Zika virus | CDC","areas with zika virus",7,"",""
"87","Areas with Zika | Zika virus | CDC","zika virus distribution",7,"",""
"88","Areas with Zika | Zika virus | CDC","zika areas to avoid",7,"",""
"89","Areas with Zika | Zika virus | CDC","zika outbreak",7,"",""
"90","Areas with Zika | Zika virus | CDC","cdc travel",7,"",""
"91","Areas with Zika | Zika virus | CDC","zika risk map",7,"",""
"92","Areas with Zika | Zika virus | CDC","is zika virus in the caribbean",7,"",""
"93","Areas with Zika | Zika virus | CDC","cdc zika florida",7,"",""
"94","Areas with Zika | Zika virus | CDC","zika zone",7,"",""
"95","Areas with Zika | Zika virus | CDC","zika area",6,"",""
"96","Areas with Zika | Zika virus | CDC","zika free",6,"",""
"97","Areas with Zika | Zika virus | CDC","zika virus in florida",6,"",""
"98","Areas with Zika | Zika virus | CDC","cdc  zika providers",6,"",""
"99","Areas with Zika | Zika virus | CDC","cdc antifiral",6,"",""
"100","Areas with Zika | Zika virus | CDC","zika virus mexico",6,"",""
"101","Areas with Zika | Zika virus | CDC","zika virus thailand",6,"",""
"102","Areas with Zika | Zika virus | CDC","zika virus distribution map",6,"",""
"103","Areas with Zika | Zika virus | CDC","where is zika in the us",6,"",""
"104","Areas with Zika | Zika virus | CDC","cdc zika affected areas",6,"",""
"105","Areas with Zika | Zika virus | CDC","puerto rico zika map",6,"",""
"106","Areas with Zika | Zika virus | CDC","zika map of affected areas",6,"",""
"107","Areas with Zika | Zika virus | CDC","zika regions",6,"",""
"108","Areas with Zika | Zika virus | CDC","cdc zika guidelines",6,"",""
"109","Areas with Zika | Zika virus | CDC","who zika map",6,"",""
"110","Areas with Zika | Zika virus | CDC","bermuda zika cdc",6,"",""
"111","Areas with Zika | Zika virus | CDC","zika map 2017",6,"",""
"112","Areas with Zika | Zika virus | CDC","cdc list zika",6,"",""
"113","Areas with Zika | Zika virus | CDC","zika 2017 map",6,"",""
"114","Areas with Zika | Zika virus | CDC","thailand zika virus",6,"",""
"115","Areas with Zika | Zika virus | CDC","cdc and zika virus",5,"",""
"116","Areas with Zika | Zika virus | CDC","cdc zika testing",5,"",""
"117","Areas with Zika | Zika virus | CDC","zika virus test",5,"",""
"118","Areas with Zika | Zika virus | CDC","zika 2017",5,"",""
"119","Areas with Zika | Zika virus | CDC","zika virus countries map",5,"",""
"120","Areas with Zika | Zika virus | CDC","zika area in florida",5,"",""
"121","Areas with Zika | Zika virus | CDC","where is zika virus found",5,"",""
"122","Areas with Zika | Zika virus | CDC","ziki virus",5,"",""
"123","Areas with Zika | Zika virus | CDC","zika countries affected",5,"",""
"124","Areas with Zika | Zika virus | CDC","zika virus map 2017",5,"",""
"125","Areas with Zika | Zika virus | CDC","zika virus countries affected",5,"",""
"126","Areas with Zika | Zika virus | CDC","zika virus areas infected",5,"",""
"127","Areas with Zika | Zika virus | CDC","zika free areas",5,"",""
"128","Areas with Zika | Zika virus | CDC","cdc zika areas",5,"",""
"129","Areas with Zika | Zika virus | CDC","zikka virus",5,"",""
"130","Areas with Zika | Zika virus | CDC","zika free cdc",5,"",""
"131","Areas with Zika | Zika virus | CDC","daily florida zika virus tracker",5,"",""
"132","Areas with Zika | Zika virus | CDC","map of zika",5,"",""
"133","Areas with Zika | Zika virus | CDC","zika infection map",5,"",""
"134","Areas with Zika | Zika virus | CDC","zika world map",5,"",""
"135","Areas with Zika | Zika virus | CDC","us zika 2017",5,"",""
"136","Areas with Zika | Zika virus | CDC","where is zika virus map",5,"",""
"137","Areas with Zika | Zika virus | CDC","countries affected by zika virus",5,"",""
"138","Areas with Zika | Zika virus | CDC","zika mosquito map",5,"",""
"139","Areas with Zika | Zika virus | CDC","about zika virus disease",5,"",""
"140","Areas with Zika | Zika virus | CDC","https://www.cdc.gov/zika/intheus/maps-zika-us.html",5,"",""
"141","Areas with Zika | Zika virus | CDC","zika virus karte",5,"",""
"142","Areas with Zika | Zika virus | CDC","zika status",5,"",""
"143","Areas with Zika | Zika virus | CDC","aruba zika cdc",5,"",""
"144","Areas with Zika | Zika virus | CDC","zika virus in 20 countries",5,"",""
"145","Areas with Zika | Zika virus | CDC","zika in the us",5,"",""
"146","Areas with Zika | Zika virus | CDC","where has zika",5,"",""
"147","Areas with Zika | Zika virus | CDC","cdc zika bermuda",5,"",""
"148","Areas with Zika | Zika virus | CDC","galveston texas zika",5,"",""
"149","Areas with Zika | Zika virus | CDC","cdc zica",5,"",""
"150","Areas with Zika | Zika virus | CDC","zika mappa",5,"",""
"151","Areas with Zika | Zika virus | CDC","symptoms of zika virus",5,"",""
"152","Areas with Zika | Zika virus | CDC","zika virus location",5,"",""
"153","Areas with Zika | Zika virus | CDC","zizka virus locations",5,"",""
"154","Areas with Zika | Zika virus | CDC","zika infected countries",4,"",""
"155","Areas with Zika | Zika virus | CDC","cdc zika infected areas",4,"",""
"156","Areas with Zika | Zika virus | CDC","is it safe for pregnant women to travel to maui zika virus",4,"",""
"157","Areas with Zika | Zika virus | CDC","where is zika the worst",4,"",""
"158","Areas with Zika | Zika virus | CDC","areas in us affected by zika",4,"",""
"159","Areas with Zika | Zika virus | CDC","countries with zika virus",4,"",""
"160","Areas with Zika | Zika virus | CDC","country with zika virus",4,"",""
"161","Areas with Zika | Zika virus | CDC","viruses in the caribbean",4,"",""
"162","Areas with Zika | Zika virus | CDC","warm places without zika",4,"",""
"163","Areas with Zika | Zika virus | CDC","cdc map zika",4,"",""
"164","Areas with Zika | Zika virus | CDC","zika virus protection",4,"",""
"165","Areas with Zika | Zika virus | CDC","mexico zika virus",4,"",""
"166","Areas with Zika | Zika virus | CDC","cdc zika website",4,"",""
"167","Areas with Zika | Zika virus | CDC","zika transmission florida",4,"",""
"168","Areas with Zika | Zika virus | CDC","zika update",4,"",""
"169","Areas with Zika | Zika virus | CDC","zikka virus spread",4,"",""
"170","Areas with Zika | Zika virus | CDC","zika thailand map",4,"",""
"171","Areas with Zika | Zika virus | CDC","map of zika affected areas",4,"",""
"172","Areas with Zika | Zika virus | CDC","zika areas of concern",4,"",""
"173","Areas with Zika | Zika virus | CDC","zika in the caribbean",4,"",""
"174","Areas with Zika | Zika virus | CDC","is zika virus in bermuda",4,"",""
"175","Areas with Zika | Zika virus | CDC","zika virus locations 2017",4,"",""
"176","Areas with Zika | Zika virus | CDC","areas of zika outbreak",4,"",""
"177","Areas with Zika | Zika virus | CDC","zeke virus map",4,"",""
"178","Areas with Zika | Zika virus | CDC","zika infested areas",4,"",""
"179","Areas with Zika | Zika virus | CDC","where is zika virus now",4,"",""
"180","Areas with Zika | Zika virus | CDC","cdc/zika",4,"",""
"181","Areas with Zika | Zika virus | CDC","zika areas cdc",4,"",""
"182","Areas with Zika | Zika virus | CDC","zika areas in the world",4,"",""
"183","Areas with Zika | Zika virus | CDC","zikavirus",4,"",""
"184","Areas with Zika | Zika virus | CDC","cdc zika affected regions",4,"",""
"185","Areas with Zika | Zika virus | CDC","zika endemic regions",4,"",""
"186","Areas with Zika | Zika virus | CDC","disease control",4,"",""
"187","Areas with Zika | Zika virus | CDC","zika in caribbean",4,"",""
"188","Areas with Zika | Zika virus | CDC","four countries with highest infection of zika",4,"",""
"189","Areas with Zika | Zika virus | CDC","zeka virus in the us",4,"",""
"190","Areas with Zika | Zika virus | CDC","zica map",4,"",""
"191","Areas with Zika | Zika virus | CDC","bermuda zika free cdc",4,"",""
"192","Areas with Zika | Zika virus | CDC","center of disease control and prevention- zika virus",4,"",""
"193","Areas with Zika | Zika virus | CDC","symptoms of zika",4,"",""
"194","Areas with Zika | Zika virus | CDC","zika virus /cdc",4,"",""
"195","Areas with Zika | Zika virus | CDC","zika virus thailand 2017",4,"",""
"196","Areas with Zika | Zika virus | CDC","zika virus locations in florida",4,"",""
"197","Areas with Zika | Zika virus | CDC","zika effected area",4,"",""
"198","Areas with Zika | Zika virus | CDC","local transmission of zika in caribbean",4,"",""
"199","Areas with Zika | Zika virus | CDC","cdc zika texas",4,"",""
"200","Areas with Zika | Zika virus | CDC","where zika virus?",4,"",""
"201","Areas with Zika | Zika virus | CDC","zyka virus",4,"",""
"202","Areas with Zika | Zika virus | CDC","zika virus florida area",4,"",""
"203","Areas with Zika | Zika virus | CDC","zika virus status",4,"",""
"204","Areas with Zika | Zika virus | CDC","zika virus in us",4,"",""
"205","Areas with Zika | Zika virus | CDC","where is there zika",4,"",""
"206","Areas with Zika | Zika virus | CDC","cdc zika endemic areas",4,"",""
"207","Areas with Zika | Zika virus | CDC","cdc and the zika virus",4,"",""
"208","Areas with Zika | Zika virus | CDC","what areas did not have the zika virus",4,"",""
"209","Areas with Zika | Zika virus | CDC","ziki cdc",4,"",""
"210","Areas with Zika | Zika virus | CDC","zika areas map",4,"",""
"211","Areas with Zika | Zika virus | CDC","haiti zike cdc",4,"",""
"212","Areas with Zika | Zika virus | CDC","zika virus countries to avoid map",4,"",""
"213","Areas with Zika | Zika virus | CDC","zika geo",4,"",""
"214","Areas with Zika | Zika virus | CDC","zika us",4,"",""
"215","Areas with Zika | Zika virus | CDC","zika in florida map",4,"",""
"216","Areas with Zika | Zika virus | CDC","zika mexico map",4,"",""
"217","Areas with Zika | Zika virus | CDC","zika outbreaks",4,"",""
"218","Areas with Zika | Zika virus | CDC","zika virus in asia",4,"",""
"219","Areas with Zika | Zika virus | CDC","cdc ziki chart",4,"",""
"220","Areas with Zika | Zika virus | CDC","places with confirmed zika",4,"",""
"221","Areas with Zika | Zika virus | CDC","zeta virus in florida",4,"",""
"222","Areas with Zika | Zika virus | CDC","where is zika outbreaks",4,"",""
"223","Areas with Zika | Zika virus | CDC","cdc where is zika",4,"",""
"224","Areas with Zika | Zika virus | CDC","zika infected map",3,"",""
"225","Areas with Zika | Zika virus | CDC","zika virus geographic distribution",3,"",""
"226","Areas with Zika | Zika virus | CDC","where are outbreaks of zika",3,"",""
"227","Areas with Zika | Zika virus | CDC","zika affected",3,"",""
"228","Areas with Zika | Zika virus | CDC","zika virus co",3,"",""
"229","Areas with Zika | Zika virus | CDC","what areas reported the zika virus",3,"",""
"230","Areas with Zika | Zika virus | CDC","is zika a big concern to north american travelers",3,"",""
"231","Areas with Zika | Zika virus | CDC","zika virus zone",3,"",""
"232","Areas with Zika | Zika virus | CDC","where is zika in the world",3,"",""
"233","Areas with Zika | Zika virus | CDC","list of zika countries",3,"",""
"234","Areas with Zika | Zika virus | CDC","zica range",3,"",""
"235","Areas with Zika | Zika virus | CDC","cdc.om",3,"",""
"236","Areas with Zika | Zika virus | CDC","omna zicca virus",3,"",""
"237","Areas with Zika | Zika virus | CDC","what countries have the zika virus",3,"",""
"238","Areas with Zika | Zika virus | CDC","zika ecuador",3,"",""
"239","Areas with Zika | Zika virus | CDC","zika cdc florida",3,"",""
"240","Areas with Zika | Zika virus | CDC","is zika in bermuda",3,"",""
"241","Areas with Zika | Zika virus | CDC","cdc list of endemic zika areas",3,"",""
"242","Areas with Zika | Zika virus | CDC","zanzibar virus zika",3,"",""
"243","Areas with Zika | Zika virus | CDC","map of zika in thailand",3,"",""
"244","Areas with Zika | Zika virus | CDC","zika outbreak in the us",3,"",""
"245","Areas with Zika | Zika virus | CDC","cdc north broward zika",3,"",""
"246","Areas with Zika | Zika virus | CDC","zika argentina map",3,"",""
"247","Areas with Zika | Zika virus | CDC","zika affected areas list",3,"",""
"248","Areas with Zika | Zika virus | CDC","how does zika play a role in the early childhood centres",3,"",""
"249","Areas with Zika | Zika virus | CDC","azores zika",3,"",""
"250","Areas with Zika | Zika virus | CDC","tracking zika",3,"",""
"251","Areas with Zika | Zika virus | CDC","cdc atlanta zika",3,"",""
"252","Areas with Zika | Zika virus | CDC","fight against zika in s.a.",3,"",""
"253","Areas with Zika | Zika virus | CDC","how prevelant is zika in mexico",3,"",""
"254","Areas with Zika | Zika virus | CDC","zika hotspots",3,"",""
"255","Areas with Zika | Zika virus | CDC","virus",3,"",""
"256","Areas with Zika | Zika virus | CDC","how long does zika stay in the body?",3,"",""
"257","Areas with Zika | Zika virus | CDC","how often has zika impacted history",3,"",""
"258","Areas with Zika | Zika virus | CDC","cdc areas of zika virus",3,"",""
"259","Areas with Zika | Zika virus | CDC","locations where zika confirmed",3,"",""
"260","Areas with Zika | Zika virus | CDC","zika virus florida",3,"",""
"261","Areas with Zika | Zika virus | CDC","world health organization zika map",3,"",""
"262","Areas with Zika | Zika virus | CDC","areas of high risk for zika virus",3,"",""
"263","Areas with Zika | Zika virus | CDC","cdc zika mexico city",3,"",""
"264","Areas with Zika | Zika virus | CDC","zika global stats",3,"",""
"265","Areas with Zika | Zika virus | CDC","zika locaiotns",3,"",""
"266","Areas with Zika | Zika virus | CDC","zika virus spread",3,"",""
"267","Areas with Zika | Zika virus | CDC","florida zika virus map",3,"",""
"268","Areas with Zika | Zika virus | CDC","effects of radiation exposure",3,"",""
"269","Areas with Zika | Zika virus | CDC","zika virus caribbean map",3,"",""
"270","Areas with Zika | Zika virus | CDC","how many cases was the zika virus",3,"",""
"271","Areas with Zika | Zika virus | CDC","mosquito",3,"",""
"272","Areas with Zika | Zika virus | CDC","zika threat map",3,"",""
"273","Areas with Zika | Zika virus | CDC","cdc atlanta",3,"",""
"274","Areas with Zika | Zika virus | CDC","zeke virus",3,"",""
"275","Areas with Zika | Zika virus | CDC","florida map of zika yellow zones",3,"",""
"276","Areas with Zika | Zika virus | CDC","florida counties zika local transmission",3,"",""
"277","Areas with Zika | Zika virus | CDC","place with zika",3,"",""
"278","Areas with Zika | Zika virus | CDC","cdc mosquito map",3,"",""
"279","Areas with Zika | Zika virus | CDC","zika infected places",3,"",""
"280","Areas with Zika | Zika virus | CDC","zikka",3,"",""
"281","Areas with Zika | Zika virus | CDC","places that have zika",3,"",""
"282","Areas with Zika | Zika virus | CDC","cdc bermuda zika",3,"",""
"283","Areas with Zika | Zika virus | CDC","zika virus countries list",3,"",""
"284","Areas with Zika | Zika virus | CDC","zirka virus",3,"",""
"285","Areas with Zika | Zika virus | CDC","cdc zika location",3,"",""
"286","Areas with Zika | Zika virus | CDC","where is zica",3,"",""
"287","Areas with Zika | Zika virus | CDC","zika distribution",3,"",""
"288","Areas with Zika | Zika virus | CDC","prevalence of zika virus",3,"",""
"289","Areas with Zika | Zika virus | CDC","zika outbreak timeline",3,"",""
"290","Areas with Zika | Zika virus | CDC","zika where",3,"",""
"291","Areas with Zika | Zika virus | CDC","zika mexico cdc",3,"",""
"292","Areas with Zika | Zika virus | CDC","zika virus hot spots",3,"",""
"293","Areas with Zika | Zika virus | CDC","cdc website zika",3,"",""
"294","Areas with Zika | Zika virus | CDC","www.cdc.org",3,"",""
"295","Areas with Zika | Zika virus | CDC","what is the zika virus",3,"",""
"296","Areas with Zika | Zika virus | CDC","outbreaks in georiga",3,"",""
"297","Areas with Zika | Zika virus | CDC","zika bermuda",3,"",""
"298","Areas with Zika | Zika virus | CDC","zikas list",3,"",""
"299","Areas with Zika | Zika virus | CDC","zika destinations to avoid",3,"",""
"300","Areas with Zika | Zika virus | CDC","what country are affected by zika",3,"",""
"301","Areas with Zika | Zika virus | CDC","who is affected by zika",3,"",""
"302","Areas with Zika | Zika virus | CDC","zika locations cdc",3,"",""
"303","Areas with Zika | Zika virus | CDC","zika virus update map",3,"",""
"304","Areas with Zika | Zika virus | CDC","places with zika",3,"",""
"305","Areas with Zika | Zika virus | CDC","were are the new cases of zica",3,"",""
"306","Areas with Zika | Zika virus | CDC","zikia",3,"",""
"307","Areas with Zika | Zika virus | CDC","list of countries with zika",3,"",""
"308","Areas with Zika | Zika virus | CDC","zika in bermuda cdc",3,"",""
"309","Areas with Zika | Zika virus | CDC","south america zika virus",3,"",""
"310","Areas with Zika | Zika virus | CDC","dominican republic reported areas of zika virus",3,"",""
"311","Areas with Zika | Zika virus | CDC","zika kenya",3,"",""
"312","Areas with Zika | Zika virus | CDC","zi",3,"",""
"313","Areas with Zika | Zika virus | CDC","zikka in usa",3,"",""
"314","Areas with Zika | Zika virus | CDC","zika virus affected countries",3,"",""
"315","Areas with Zika | Zika virus | CDC","which countries have zika virus",3,"",""
"316","Areas with Zika | Zika virus | CDC","zika virus wristband",3,"",""
"317","Areas with Zika | Zika virus | CDC","zika virus in thailand map",3,"",""
"318","Areas with Zika | Zika virus | CDC","map of zika cases in us",3,"",""
"319","Areas with Zika | Zika virus | CDC","map showing zika activity",3,"",""
"320","Areas with Zika | Zika virus | CDC","plan pregnancy zika",3,"",""
"321","Areas with Zika | Zika virus | CDC","2017 usa zika threat",3,"",""
"322","Areas with Zika | Zika virus | CDC","how far north is the zika virus in us",3,"",""
"323","Areas with Zika | Zika virus | CDC","cdc lastest guidelines for zika",3,"",""
"324","Areas with Zika | Zika virus | CDC","zika virus in the caribbean",3,"",""
"325","Areas with Zika | Zika virus | CDC","cdc zeka red flag countries",3,"",""
"326","Areas with Zika | Zika virus | CDC","brazil zika map",3,"",""
"327","Areas with Zika | Zika virus | CDC","cdc.ca",3,"",""
"328","Areas with Zika | Zika virus | CDC","zika virus usa",3,"",""
"329","Areas with Zika | Zika virus | CDC","www.cdc/gov/zika",3,"",""
"330","Areas with Zika | Zika virus | CDC","zika update cdc",3,"",""
"331","Areas with Zika | Zika virus | CDC","range of zika in south america",3,"",""
"332","Areas with Zika | Zika virus | CDC","zika locations map",3,"",""
"333","Areas with Zika | Zika virus | CDC","zika virus world map",3,"",""
"334","Areas with Zika | Zika virus | CDC","azores islands zika",3,"",""
"335","Areas with Zika | Zika virus | CDC","zika list of countries",3,"",""
"336","Areas with Zika | Zika virus | CDC","cbc zika",3,"",""
"337","Areas with Zika | Zika virus | CDC","zika virus update australia",3,"",""
"338","Areas with Zika | Zika virus | CDC","where has the zika virus been found",3,"",""
"339","Areas with Zika | Zika virus | CDC","zika fcst sumemr 2017",3,"",""
"340","Areas with Zika | Zika virus | CDC","zika cancun",3,"",""
"341","Areas with Zika | Zika virus | CDC","places affected by zika virus",3,"",""
"342","Areas with Zika | Zika virus | CDC","zika virus america",3,"",""
"343","Areas with Zika | Zika virus | CDC","tropical countries with little or no zika viruses",3,"",""
"344","Areas with Zika | Zika virus | CDC","cdc zika mexico",3,"",""
"345","Areas with Zika | Zika virus | CDC","zika travel information",3,"",""
"346","Areas with Zika | Zika virus | CDC","zika rates cdc",3,"",""
"347","Areas with Zika | Zika virus | CDC","where is the zika virus list",3,"",""
"348","Areas with Zika | Zika virus | CDC","zika areas affected",3,"",""
"349","Areas with Zika | Zika virus | CDC","spread of zika mosquitoes worldwide",3,"",""
"350","Areas with Zika | Zika virus | CDC","cdc zica list",3,"",""
"351","Areas with Zika | Zika virus | CDC","https://www.cdc.gov/zika/geo/active-countries.html",3,"",""
"352","Areas with Zika | Zika virus | CDC","cdc zika geo index",3,"",""
"353","Areas with Zika | Zika virus | CDC","zika outbreak countries by name",3,"",""
"354","Areas with Zika | Zika virus | CDC","virus asia",3,"",""
"355","Areas with Zika | Zika virus | CDC","where is zika in us",3,"",""
"356","Areas with Zika | Zika virus | CDC","is the zika virus in south africa?",3,"",""
"357","Areas with Zika | Zika virus | CDC","bali zika cases",3,"",""
"358","Areas with Zika | Zika virus | CDC","zika miami",3,"",""
"359","Areas with Zika | Zika virus | CDC","zika bermuda cdc",3,"",""
"360","Areas with Zika | Zika virus | CDC","zika virus in mexico",3,"",""
"361","Areas with Zika | Zika virus | CDC","zika distribution map",3,"",""
"362","Areas with Zika | Zika virus | CDC","islands with zika",3,"",""
"363","Areas with Zika | Zika virus | CDC","orlando zika virus cdc",3,"",""
"364","Areas with Zika | Zika virus | CDC","current zika recommendations",3,"",""
"365","Areas with Zika | Zika virus | CDC","cdc report on zika",3,"",""
"366","Areas with Zika | Zika virus | CDC","zika virus in usa",3,"",""
"367","Areas with Zika | Zika virus | CDC","zika in bermuda",3,"",""
"368","Areas with Zika | Zika virus | CDC","zika transmission map",3,"",""
"369","Areas with Zika | Zika virus | CDC","zika virus affecrted areas",3,"",""
"370","Areas with Zika | Zika virus | CDC","bermuda zika virus cdc",3,"",""
"371","Areas with Zika | Zika virus | CDC","map zika outbreak",3,"",""
"372","Areas with Zika | Zika virus | CDC","map of zika virus locations",3,"",""
"373","Areas with Zika | Zika virus | CDC","zika virus map caribbean",3,"",""
"374","Areas with Zika | Zika virus | CDC","zika affectred area",3,"",""
"375","Areas with Zika | Zika virus | CDC","zika virus places to avoid",2,"",""
"376","Areas with Zika | Zika virus | CDC","how to test for zika virus",2,"",""
"377","Areas with Zika | Zika virus | CDC","zica virus locations",2,"",""
"378","Areas with Zika | Zika virus | CDC","cdc zika area",2,"",""
"379","Areas with Zika | Zika virus | CDC","cdc areas affected by zika",2,"",""
"380","Areas with Zika | Zika virus | CDC","illness and travel outside the us",2,"",""
"381","Areas with Zika | Zika virus | CDC","africa zika",2,"",""
"382","Areas with Zika | Zika virus | CDC","zika cases map",2,"",""
"383","Areas with Zika | Zika virus | CDC","power point, vir zika",2,"",""
"384","Areas with Zika | Zika virus | CDC","actual zika map mexico",2,"",""
"385","Areas with Zika | Zika virus | CDC","case counts in the us",2,"",""
"386","Areas with Zika | Zika virus | CDC","zika recent cases",2,"",""
"387","Areas with Zika | Zika virus | CDC","cdc - zika",2,"",""
"388","Areas with Zika | Zika virus | CDC","northern patagonia zika",2,"",""
"389","Areas with Zika | Zika virus | CDC","zone zika",2,"",""
"390","Areas with Zika | Zika virus | CDC","travel area not affected by the zika virus",2,"",""
"391","Areas with Zika | Zika virus | CDC","zika virus and where it is",2,"",""
"392","Areas with Zika | Zika virus | CDC","cdc travel advisory",2,"",""
"393","Areas with Zika | Zika virus | CDC","zika cd",2,"",""
"394","Areas with Zika | Zika virus | CDC","zeka outbreaks in us",2,"",""
"395","Areas with Zika | Zika virus | CDC","latest on zika virus",2,"",""
"396","Areas with Zika | Zika virus | CDC","zika virus cases mexico",2,"",""
"397","Areas with Zika | Zika virus | CDC","zika bahamas cdc",2,"",""
